matrícula,status,nome,email,email do gestor,data de admissão,data de rescisão,cargo
54,ativo,David Brady,davidbrady@kpis.tech,loricampbell@kpis.tech,14/06/2020,,Analista
55,ativo,Veronica Alvarado,veronicaalvarado@kpis.tech,loricampbell@kpis.tech,26/02/2021,,Estagiário
56,ativo,Howard Johnston,howardjohnston@kpis.tech,loricampbell@kpis.tech,04/03/2021,,Analista
57,ativo,Linda Smith,lindasmith@kpis.tech,richardmay@kpis.tech,11/08/2020,,Estagiário
58,ativo,Michael Kim,michaelkim@kpis.tech,loricampbell@kpis.tech,28/08/2021,,Estagiário
59,inativo,Robert Keith,robertkeith@kpis.tech,loricampbell@kpis.tech,26/10/2020,05/02/2021,Analista
60,inativo,Jason Wright DDS,jasonwrightdds@kpis.tech,loricampbell@kpis.tech,31/07/2021,03/09/2021,Estagiário
61,ativo,Mary Hayes,maryhayes@kpis.tech,sharonbarr@kpis.tech,13/06/2020,,Engenheiro
62,inativo,Shane Bonilla Jr.,shanebonillajr.@kpis.tech,robinmcdaniel@kpis.tech,01/01/2021,21/07/2021,Engenheiro
63,ativo,Mr. Brian Dudley,mr.briandudley@kpis.tech,robinmcdaniel@kpis.tech,20/12/2021,,Engenheiro
64,inativo,James Miller,jamesmiller@kpis.tech,richardmay@kpis.tech,19/12/2020,16/09/2021,Engenheiro
65,ativo,Rachael Murphy,rachaelmurphy@kpis.tech,richardmay@kpis.tech,16/06/2021,,Engenheiro
66,ativo,Lori Campbell,loricampbell@kpis.tech,richardmay@kpis.tech,18/03/2021,,Engenheiro
67,ativo,Laurie Marshall,lauriemarshall@kpis.tech,loricampbell@kpis.tech,21/04/2020,,Analista
68,ativo,Robert Holmes,robertholmes@kpis.tech,loricampbell@kpis.tech,22/05/2021,,Analista
69,ativo,Roger King,rogerking@kpis.tech,loricampbell@kpis.tech,09/07/2021,,Estagiário
70,inativo,Michael Rodriguez,michaelrodriguez@kpis.tech,loricampbell@kpis.tech,03/04/2021,18/07/2021,Estagiário
71,ativo,Crystal Taylor,crystaltaylor@kpis.tech,richardmay@kpis.tech,26/09/2020,,Analista
72,inativo,Erik Gomez,erikgomez@kpis.tech,shanebonillajr.@kpis.tech,18/03/2022,03/04/2022,Analista
73,ativo,Ricky Lopez,rickylopez@kpis.tech,robinmcdaniel@kpis.tech,04/10/2021,,Engenheiro
74,ativo,Kristina Hampton,kristinahampton@kpis.tech,richardmay@kpis.tech,27/09/2022,,Engenheiro
75,ativo,Stacy Steele,stacysteele@kpis.tech,richardmay@kpis.tech,15/12/2020,,Engenheiro
76,ativo,Shirley Alexander,shirleyalexander@kpis.tech,sharonbarr@kpis.tech,14/01/2022,,Engenheiro
77,ativo,Kyle Hogan,kylehogan@kpis.tech,sharonbarr@kpis.tech,10/12/2021,,Engenheiro
78,inativo,Rebecca Knight,rebeccaknight@kpis.tech,sharonbarr@kpis.tech,10/06/2021,26/01/2022,Engenheiro
79,inativo,Mario Watson,mariowatson@kpis.tech,sharonbarr@kpis.tech,22/04/2022,25/10/2022,Engenheiro
80,ativo,Elizabeth Dawson,elizabethdawson@kpis.tech,sharonbarr@kpis.tech,06/09/2021,,Engenheiro
81,inativo,Megan Mccarty,meganmccarty@kpis.tech,shanebonillajr.@kpis.tech,22/03/2021,14/01/2022,Analista
82,inativo,Evan Gutierrez,evangutierrez@kpis.tech,shanebonillajr.@kpis.tech,23/07/2022,12/03/2023,Analista
83,inativo,Patrick Garrison,patrickgarrison@kpis.tech,mollyedwards@kpis.tech,09/04/2021,07/04/2022,Analista
84,inativo,Derek Gilbert,derekgilbert@kpis.tech,shanebonillajr.@kpis.tech,04/02/2022,10/08/2022,Estagiário
85,inativo,Travis Johnson,travisjohnson@kpis.tech,shanebonillajr.@kpis.tech,07/06/2022,18/04/2023,Estagiário
86,ativo,Roberta Stone,robertastone@kpis.tech,richardmay@kpis.tech,24/05/2022,,Analista
87,ativo,Douglas Pittman,douglaspittman@kpis.tech,mollyedwards@kpis.tech,31/01/2020,,Analista
88,inativo,Lisa Robinson,lisarobinson@kpis.tech,mollyedwards@kpis.tech,26/01/2021,11/03/2021,Analista
89,ativo,Marissa Hudson DDS,marissahudsondds@kpis.tech,mollyedwards@kpis.tech,09/08/2021,,Analista
90,ativo,Timothy Hays,timothyhays@kpis.tech,shanebonillajr.@kpis.tech,15/03/2021,,Analista
91,inativo,David Williams,davidwilliams@kpis.tech,shanebonillajr.@kpis.tech,17/07/2021,26/04/2022,Analista
92,inativo,Matthew Tyler,matthewtyler@kpis.tech,sharonbarr@kpis.tech,08/05/2021,03/11/2021,Engenheiro
93,ativo,Rachael Mcpherson,rachaelmcpherson@kpis.tech,sharonbarr@kpis.tech,02/05/2021,,Engenheiro
94,inativo,Christopher Rubio,christopherrubio@kpis.tech,robinmcdaniel@kpis.tech,17/01/2020,08/02/2020,Engenheiro
95,ativo,Jerry Williamson,jerrywilliamson@kpis.tech,shanebonillajr.@kpis.tech,15/10/2022,,Analista
96,inativo,Ashlee Boyd,ashleeboyd@kpis.tech,richardmay@kpis.tech,17/09/2020,29/04/2021,Analista
97,ativo,Ashley Carter,ashleycarter@kpis.tech,shanebonillajr.@kpis.tech,23/06/2021,,Analista
98,ativo,Sara Walters,sarawalters@kpis.tech,robinmcdaniel@kpis.tech,13/12/2021,,Engenheiro
99,ativo,Michael Goodwin,michaelgoodwin@kpis.tech,shanebonillajr.@kpis.tech,07/04/2021,,Analista
